Time Stamp,Event Name,Event Type,Conducted By,Rating,Feedback Comment
08-02-2025 11:05,Sports Meet,Technical,Computer Science,3,"Nothing special, but okay."
27-02-2025 11:05,Sports Meet,Cultural,Mechanical,1,Poorly managed event.
16-09-2024 11:05,Guest Lecture,Cultural,Electronics,4,Would love to attend again.
22-02-2025 11:05,Seminar,Sports,Computer Science,1,Poorly managed event.
11-05-2025 11:05,Cultural Fest,Workshop,Electronics,1,The event was too long.
29-10-2024 11:05,Guest Lecture,Cultural,Management,2,Speakers were boring.
06-07-2025 11:05,Seminar,Workshop,Electronics,5,Great networking opportunity.
21-05-2025 11:05,Seminar,Technical,Computer Science,1,Content was not very relevant.
18-01-2025 11:05,Hackathon,Sports,Mechanical,2,Speakers were boring.
10-05-2025 11:05,Sports Meet,Sports,Computer Science,3,It was an average experience.
25-12-2024 11:05,Cultural Fest,Workshop,Civil,4,Speakers were very knowledgeable.
27-11-2024 11:05,Workshop,Sports,Civil,4,Great networking opportunity.
27-11-2024 11:05,Hackathon,Academic,Management,1,Could be better organized.
30-06-2025 11:05,Tech Talk,Workshop,Humanities,4,Loved the hands-on activities!
08-06-2025 11:05,Tech Talk,Cultural,Mechanical,2,Speakers were boring.
16-06-2025 11:05,Guest Lecture,Cultural,Computer Science,1,Poorly managed event.
28-03-2025 11:05,Sports Meet,Sports,Civil,4,Would love to attend again.
17-05-2025 11:05,Cultural Fest,Cultural,Management,5,Very informative and engaging.
05-02-2025 11:05,Sports Meet,Workshop,Computer Science,2,I did not enjoy the event.
01-02-2025 11:05,Seminar,Cultural,Mechanical,5,Speakers were very knowledgeable.
21-09-2024 11:05,Guest Lecture,Cultural,Civil,5,"Great event, learned a lot!"
15-02-2025 11:05,Guest Lecture,Academic,Management,5,Great networking opportunity.
15-07-2025 11:05,Hackathon,Workshop,Humanities,4,Would love to attend again.
12-06-2025 11:05,Workshop,Sports,Mechanical,4,Great networking opportunity.
26-10-2024 11:05,Seminar,Workshop,Management,2,Content was not very relevant.
07-11-2024 11:05,Workshop,Technical,Humanities,5,Great networking opportunity.
16-03-2025 11:05,Guest Lecture,Sports,Management,2,Poorly managed event.
08-03-2025 11:05,Tech Talk,Academic,Computer Science,5,"Great event, learned a lot!"
22-01-2025 11:05,Workshop,Technical,Computer Science,4,Great networking opportunity.
04-08-2025 11:05,Seminar,Cultural,Electronics,2,Speakers were boring.
17-03-2025 11:05,Guest Lecture,Academic,Computer Science,5,Would love to attend again.
08-04-2025 11:05,Workshop,Workshop,Electronics,4,Would love to attend again.
27-06-2025 11:05,Tech Talk,Technical,Mechanical,1,I did not enjoy the event.
08-06-2025 11:05,Guest Lecture,Academic,Humanities,4,Great networking opportunity.
01-02-2025 11:05,Seminar,Technical,Mechanical,2,Speakers were boring.
23-10-2024 11:05,Hackathon,Technical,Civil,2,Poorly managed event.
13-09-2024 11:05,Seminar,Sports,Management,1,Could be better organized.
23-04-2025 11:05,Seminar,Sports,Management,5,Great networking opportunity.
27-02-2025 11:05,Cultural Fest,Academic,Civil,3,It was an average experience.
20-09-2024 11:05,Sports Meet,Technical,Computer Science,5,Would love to attend again.
17-06-2025 11:05,Cultural Fest,Sports,Electronics,3,It was an average experience.
13-04-2025 11:05,Tech Talk,Academic,Mechanical,3,"Nothing special, but okay."
16-06-2025 11:05,Tech Talk,Cultural,Management,1,Content was not very relevant.
29-03-2025 11:05,Sports Meet,Sports,Electronics,3,It was an average experience.
17-04-2025 11:05,Sports Meet,Sports,Computer Science,3,It was an average experience.
05-01-2025 11:05,Workshop,Workshop,Civil,2,Poorly managed event.
01-11-2024 11:05,Tech Talk,Sports,Management,2,Speakers were boring.
13-09-2024 11:05,Cultural Fest,Academic,Civil,4,Very informative and engaging.
05-02-2025 11:05,Workshop,Academic,Humanities,3,Overall it was decent.
06-05-2025 11:05,Workshop,Workshop,Electronics,3,Overall it was decent.
20-10-2024 11:05,Guest Lecture,Workshop,Management,1,I did not enjoy the event.
09-01-2025 11:05,Workshop,Workshop,Humanities,5,Loved the hands-on activities!
28-12-2024 11:05,Cultural Fest,Cultural,Humanities,4,Very informative and engaging.
11-03-2025 11:05,Hackathon,Academic,Management,1,Could be better organized.
16-07-2025 11:05,Guest Lecture,Cultural,Humanities,2,Could be better organized.
03-03-2025 11:05,Guest Lecture,Workshop,Computer Science,5,Would love to attend again.
15-08-2025 11:05,Workshop,Academic,Mechanical,5,Would love to attend again.
09-08-2025 11:05,Hackathon,Workshop,Computer Science,1,I did not enjoy the event.
30-08-2025 11:05,Workshop,Sports,Mechanical,4,Loved the hands-on activities!
19-06-2025 11:05,Sports Meet,Technical,Management,1,Poorly managed event.
20-09-2024 11:05,Seminar,Workshop,Humanities,5,Very informative and engaging.
14-08-2025 11:05,Sports Meet,Cultural,Computer Science,5,Loved the hands-on activities!
13-09-2024 11:05,Sports Meet,Technical,Electronics,5,Great networking opportunity.
12-12-2024 11:05,Seminar,Sports,Computer Science,4,Speakers were very knowledgeable.
26-10-2024 11:05,Guest Lecture,Technical,Mechanical,2,I did not enjoy the event.
08-05-2025 11:05,Guest Lecture,Workshop,Management,4,Very informative and engaging.
26-04-2025 11:05,Cultural Fest,Sports,Management,2,I did not enjoy the event.
23-08-2025 11:05,Hackathon,Workshop,Electronics,1,Speakers were boring.
05-11-2024 11:05,Hackathon,Sports,Mechanical,4,"Great event, learned a lot!"
24-07-2025 11:05,Workshop,Sports,Civil,2,Poorly managed event.
21-03-2025 11:05,Cultural Fest,Workshop,Computer Science,3,"Content was fine, not too great."
05-05-2025 11:05,Guest Lecture,Technical,Electronics,2,Content was not very relevant.
20-10-2024 11:05,Cultural Fest,Workshop,Humanities,3,It was an average experience.
17-10-2024 11:05,Guest Lecture,Academic,Management,1,Content was not very relevant.
08-07-2025 11:05,Sports Meet,Technical,Computer Science,2,Poorly managed event.
28-07-2025 11:05,Guest Lecture,Workshop,Electronics,3,"Content was fine, not too great."
02-07-2025 11:05,Seminar,Workshop,Humanities,5,Would love to attend again.
24-05-2025 11:05,Workshop,Cultural,Civil,2,Speakers were boring.
08-12-2024 11:05,Tech Talk,Academic,Humanities,5,Very informative and engaging.
24-02-2025 11:05,Guest Lecture,Workshop,Humanities,5,Great networking opportunity.
02-09-2025 11:05,Guest Lecture,Sports,Electronics,2,Content was not very relevant.
29-03-2025 11:05,Tech Talk,Sports,Mechanical,5,Great networking opportunity.
14-06-2025 11:05,Workshop,Cultural,Electronics,2,Speakers were boring.
14-12-2024 11:05,Tech Talk,Technical,Electronics,1,Content was not very relevant.
01-08-2025 11:05,Workshop,Cultural,Computer Science,2,Could be better organized.
25-05-2025 11:05,Seminar,Technical,Mechanical,5,Would love to attend again.
17-11-2024 11:05,Sports Meet,Technical,Electronics,4,Very informative and engaging.
29-08-2025 11:05,Seminar,Technical,Management,4,Loved the hands-on activities!
11-03-2025 11:05,Sports Meet,Cultural,Electronics,5,Speakers were very knowledgeable.
29-08-2025 11:05,Cultural Fest,Cultural,Electronics,2,Poorly managed event.
14-02-2025 11:05,Hackathon,Academic,Management,2,Poorly managed event.
08-02-2025 11:05,Guest Lecture,Workshop,Civil,1,Poorly managed event.
11-11-2024 11:05,Sports Meet,Academic,Mechanical,2,Poorly managed event.
26-10-2024 11:05,Seminar,Cultural,Mechanical,2,I did not enjoy the event.
21-07-2025 11:05,Tech Talk,Workshop,Management,1,Content was not very relevant.
29-01-2025 11:05,Workshop,Technical,Management,4,Would love to attend again.
07-12-2024 11:05,Hackathon,Sports,Management,5,"Great event, learned a lot!"
21-10-2024 11:05,Workshop,Sports,Humanities,1,Content was not very relevant.
08-09-2025 11:05,Seminar,Cultural,Management,4,"Great event, learned a lot!"
13-04-2025 11:05,Cultural Fest,Technical,Mechanical,2,Could be better organized.
12-04-2025 11:05,Hackathon,Academic,Computer Science,1,Speakers were boring.
30-06-2025 11:05,Tech Talk,Technical,Civil,2,Could be better organized.
25-06-2025 11:05,Guest Lecture,Cultural,Electronics,4,Very informative and engaging.
27-05-2025 11:05,Cultural Fest,Cultural,Electronics,4,Speakers were very knowledgeable.
09-01-2025 11:05,Seminar,Cultural,Mechanical,4,Great networking opportunity.
26-01-2025 11:05,Seminar,Workshop,Mechanical,3,It was an average experience.
02-03-2025 11:05,Workshop,Technical,Computer Science,4,Would love to attend again.
16-12-2024 11:05,Sports Meet,Technical,Computer Science,3,"Nothing special, but okay."
27-09-2024 11:05,Cultural Fest,Technical,Humanities,3,"Content was fine, not too great."
12-06-2025 11:05,Workshop,Cultural,Management,1,Could be better organized.
30-11-2024 11:05,Sports Meet,Cultural,Management,1,The event was too long.
05-05-2025 11:05,Guest Lecture,Technical,Electronics,2,Content was not very relevant.
16-04-2025 11:05,Workshop,Sports,Mechanical,1,I did not enjoy the event.
10-03-2025 11:05,Seminar,Cultural,Electronics,3,Could have been a little better.
15-01-2025 11:05,Hackathon,Cultural,Computer Science,5,Would love to attend again.
18-10-2024 11:05,Sports Meet,Academic,Civil,5,"Great event, learned a lot!"
07-05-2025 11:05,Guest Lecture,Technical,Computer Science,2,Content was not very relevant.
03-02-2025 11:05,Hackathon,Cultural,Humanities,5,Loved the hands-on activities!
28-05-2025 11:05,Cultural Fest,Cultural,Management,4,Loved the hands-on activities!
22-07-2025 11:05,Seminar,Academic,Humanities,5,Loved the hands-on activities!
01-01-2025 11:05,Sports Meet,Workshop,Mechanical,4,Speakers were very knowledgeable.
03-12-2024 11:05,Hackathon,Technical,Management,2,Poorly managed event.
04-02-2025 11:05,Hackathon,Technical,Civil,2,Could be better organized.
08-10-2024 11:05,Guest Lecture,Sports,Humanities,3,"Content was fine, not too great."
16-03-2025 11:05,Tech Talk,Cultural,Humanities,4,Very informative and engaging.
02-10-2024 11:05,Hackathon,Sports,Civil,5,Speakers were very knowledgeable.
15-03-2025 11:05,Tech Talk,Cultural,Humanities,2,Content was not very relevant.
21-01-2025 11:05,Tech Talk,Technical,Computer Science,2,Poorly managed event.
03-12-2024 11:05,Tech Talk,Cultural,Humanities,2,Poorly managed event.
14-06-2025 11:05,Workshop,Technical,Mechanical,1,Speakers were boring.
23-08-2025 11:05,Cultural Fest,Sports,Computer Science,2,Speakers were boring.
05-09-2025 11:05,Guest Lecture,Cultural,Humanities,1,The event was too long.
08-02-2025 11:05,Workshop,Academic,Computer Science,4,Speakers were very knowledgeable.
04-03-2025 11:05,Guest Lecture,Cultural,Electronics,3,"Nothing special, but okay."
04-07-2025 11:05,Cultural Fest,Cultural,Mechanical,4,Great networking opportunity.
14-04-2025 11:05,Cultural Fest,Sports,Computer Science,2,I did not enjoy the event.
11-09-2024 11:05,Tech Talk,Workshop,Humanities,5,"Great event, learned a lot!"
08-06-2025 11:05,Seminar,Sports,Humanities,2,The event was too long.
23-12-2024 11:05,Tech Talk,Technical,Management,1,Speakers were boring.
06-07-2025 11:05,Tech Talk,Technical,Humanities,2,Could be better organized.
06-03-2025 11:05,Workshop,Workshop,Humanities,5,Would love to attend again.
10-09-2024 11:05,Seminar,Cultural,Computer Science,1,Speakers were boring.
07-02-2025 11:05,Cultural Fest,Academic,Management,4,"Great event, learned a lot!"
03-02-2025 11:05,Sports Meet,Academic,Management,1,The event was too long.
19-01-2025 11:05,Seminar,Workshop,Management,1,The event was too long.
06-11-2024 11:05,Cultural Fest,Cultural,Electronics,2,Content was not very relevant.
02-01-2025 11:05,Cultural Fest,Technical,Computer Science,1,I did not enjoy the event.
11-11-2024 11:05,Workshop,Sports,Electronics,4,Great networking opportunity.
24-09-2024 11:05,Hackathon,Workshop,Civil,4,Great networking opportunity.
24-08-2025 11:05,Seminar,Cultural,Mechanical,5,"Great event, learned a lot!"
04-03-2025 11:05,Sports Meet,Workshop,Electronics,4,Loved the hands-on activities!
24-07-2025 11:05,Cultural Fest,Workshop,Computer Science,2,Content was not very relevant.
17-07-2025 11:05,Guest Lecture,Cultural,Humanities,5,Very informative and engaging.
16-05-2025 11:05,Tech Talk,Workshop,Electronics,5,"Great event, learned a lot!"
30-12-2024 11:05,Workshop,Workshop,Management,4,Would love to attend again.
23-09-2024 11:05,Hackathon,Sports,Mechanical,4,Very informative and engaging.
23-07-2025 11:05,Hackathon,Academic,Computer Science,2,Speakers were boring.
28-11-2024 11:05,Hackathon,Workshop,Humanities,5,"Great event, learned a lot!"
24-11-2024 11:05,Guest Lecture,Workshop,Mechanical,2,Speakers were boring.
14-02-2025 11:05,Cultural Fest,Academic,Mechanical,2,I did not enjoy the event.
29-03-2025 11:05,Guest Lecture,Cultural,Computer Science,5,Speakers were very knowledgeable.
22-02-2025 11:05,Cultural Fest,Academic,Civil,2,I did not enjoy the event.
26-05-2025 11:05,Tech Talk,Academic,Mechanical,4,Very informative and engaging.
07-02-2025 11:05,Workshop,Technical,Humanities,3,"Nothing special, but okay."
19-03-2025 11:05,Workshop,Cultural,Mechanical,1,The event was too long.
14-04-2025 11:05,Workshop,Academic,Management,1,Could be better organized.
02-11-2024 11:05,Hackathon,Sports,Mechanical,2,I did not enjoy the event.
12-07-2025 11:05,Guest Lecture,Technical,Humanities,2,Poorly managed event.
05-12-2024 11:05,Hackathon,Cultural,Management,2,I did not enjoy the event.
14-08-2025 11:05,Tech Talk,Cultural,Humanities,1,I did not enjoy the event.
04-07-2025 11:05,Guest Lecture,Sports,Electronics,4,Loved the hands-on activities!
25-05-2025 11:05,Seminar,Technical,Electronics,2,I did not enjoy the event.
24-12-2024 11:05,Cultural Fest,Sports,Humanities,1,Speakers were boring.
30-11-2024 11:05,Workshop,Technical,Civil,4,Speakers were very knowledgeable.
18-08-2025 11:05,Hackathon,Academic,Management,2,Content was not very relevant.
13-08-2025 11:05,Sports Meet,Workshop,Civil,1,Content was not very relevant.
06-10-2024 11:05,Workshop,Sports,Civil,5,Loved the hands-on activities!
23-02-2025 11:05,Cultural Fest,Sports,Electronics,1,Speakers were boring.
26-04-2025 11:05,Cultural Fest,Sports,Electronics,1,Poorly managed event.
08-03-2025 11:05,Tech Talk,Workshop,Management,5,Loved the hands-on activities!
13-08-2025 11:05,Tech Talk,Technical,Civil,4,Very informative and engaging.
05-09-2025 11:05,Cultural Fest,Technical,Computer Science,2,Could be better organized.
03-04-2025 11:05,Seminar,Workshop,Computer Science,3,"Nothing special, but okay."
01-04-2025 11:05,Seminar,Technical,Management,4,Very informative and engaging.
07-10-2024 11:05,Hackathon,Academic,Management,1,Content was not very relevant.
04-04-2025 11:05,Seminar,Academic,Mechanical,1,Speakers were boring.
07-09-2025 11:05,Sports Meet,Academic,Management,5,Would love to attend again.
11-02-2025 11:05,Seminar,Cultural,Mechanical,1,The event was too long.
27-01-2025 11:05,Cultural Fest,Technical,Electronics,5,Loved the hands-on activities!
09-01-2025 11:05,Guest Lecture,Workshop,Electronics,5,Loved the hands-on activities!
03-12-2024 11:05,Sports Meet,Workshop,Management,1,Poorly managed event.
27-12-2024 11:05,Sports Meet,Cultural,Mechanical,4,Great networking opportunity.
12-08-2025 11:05,Cultural Fest,Workshop,Computer Science,5,Great networking opportunity.
20-09-2024 11:05,Seminar,Academic,Mechanical,5,Speakers were very knowledgeable.
07-05-2025 11:05,Cultural Fest,Sports,Electronics,1,I did not enjoy the event.
13-12-2024 11:05,Tech Talk,Cultural,Mechanical,5,"Great event, learned a lot!"
06-11-2024 11:05,Cultural Fest,Academic,Humanities,4,Very informative and engaging.
12-09-2024 11:05,Sports Meet,Sports,Humanities,2,Poorly managed event.
24-02-2025 11:05,Seminar,Academic,Humanities,5,Great networking opportunity.
20-04-2025 11:05,Workshop,Cultural,Electronics,3,Overall it was decent.
20-08-2025 11:05,Hackathon,Technical,Management,5,Loved the hands-on activities!
24-12-2024 11:05,Cultural Fest,Technical,Humanities,4,Would love to attend again.
17-03-2025 11:05,Guest Lecture,Academic,Electronics,3,Could have been a little better.
15-03-2025 11:05,Hackathon,Technical,Mechanical,2,Poorly managed event.
05-12-2024 11:05,Tech Talk,Sports,Civil,1,Poorly managed event.
14-04-2025 11:05,Hackathon,Technical,Mechanical,4,Very informative and engaging.
09-05-2025 11:05,Guest Lecture,Sports,Humanities,3,Could have been a little better.
17-09-2024 11:05,Sports Meet,Cultural,Civil,3,Could have been a little better.
29-09-2024 11:05,Sports Meet,Workshop,Mechanical,3,Overall it was decent.
29-05-2025 11:05,Hackathon,Workshop,Humanities,3,"Nothing special, but okay."
10-02-2025 11:05,Tech Talk,Technical,Computer Science,1,The event was too long.
20-08-2025 11:05,Guest Lecture,Cultural,Computer Science,3,Could have been a little better.
12-07-2025 11:05,Cultural Fest,Academic,Electronics,3,Could have been a little better.
29-01-2025 11:05,Guest Lecture,Technical,Mechanical,3,Could have been a little better.
21-05-2025 11:05,Sports Meet,Academic,Mechanical,5,Great networking opportunity.
17-11-2024 11:05,Guest Lecture,Cultural,Humanities,3,"Nothing special, but okay."
29-05-2025 11:05,Workshop,Cultural,Management,2,The event was too long.
05-04-2025 11:05,Guest Lecture,Technical,Computer Science,4,Loved the hands-on activities!
12-09-2024 11:05,Workshop,Workshop,Civil,5,Would love to attend again.
13-06-2025 11:05,Workshop,Workshop,Mechanical,3,Overall it was decent.
11-07-2025 11:05,Sports Meet,Cultural,Electronics,2,Content was not very relevant.
29-09-2024 11:05,Cultural Fest,Sports,Electronics,1,Could be better organized.
30-11-2024 11:05,Tech Talk,Sports,Computer Science,3,Overall it was decent.
08-11-2024 11:05,Guest Lecture,Cultural,Humanities,5,Would love to attend again.
15-01-2025 11:05,Hackathon,Technical,Management,3,Overall it was decent.
25-05-2025 11:05,Hackathon,Workshop,Civil,5,Would love to attend again.
25-08-2025 11:05,Tech Talk,Cultural,Management,2,Poorly managed event.
19-01-2025 11:05,Seminar,Sports,Humanities,5,Great networking opportunity.
11-09-2024 11:05,Guest Lecture,Sports,Civil,4,Would love to attend again.
30-06-2025 11:05,Sports Meet,Cultural,Civil,5,"Great event, learned a lot!"
23-07-2025 11:05,Hackathon,Cultural,Mechanical,1,Speakers were boring.
01-11-2024 11:05,Sports Meet,Cultural,Civil,1,I did not enjoy the event.
06-04-2025 11:05,Guest Lecture,Technical,Electronics,5,Great networking opportunity.
16-10-2024 11:05,Guest Lecture,Sports,Electronics,1,Content was not very relevant.
13-11-2024 11:05,Seminar,Cultural,Electronics,3,"Nothing special, but okay."
07-04-2025 11:05,Tech Talk,Cultural,Mechanical,4,"Great event, learned a lot!"
13-03-2025 11:05,Workshop,Academic,Computer Science,3,It was an average experience.
20-04-2025 11:05,Seminar,Cultural,Civil,4,"Great event, learned a lot!"
13-07-2025 11:05,Workshop,Technical,Mechanical,3,Could have been a little better.
02-03-2025 11:05,Workshop,Sports,Computer Science,4,"Great event, learned a lot!"
26-03-2025 11:05,Hackathon,Cultural,Civil,3,"Content was fine, not too great."
28-07-2025 11:05,Sports Meet,Cultural,Mechanical,5,Loved the hands-on activities!
05-06-2025 11:05,Seminar,Sports,Civil,5,"Great event, learned a lot!"
15-08-2025 11:05,Cultural Fest,Technical,Humanities,2,Poorly managed event.
31-12-2024 11:05,Sports Meet,Cultural,Computer Science,3,Overall it was decent.
19-06-2025 11:05,Hackathon,Technical,Humanities,3,"Nothing special, but okay."
16-04-2025 11:05,Tech Talk,Technical,Electronics,1,The event was too long.
04-06-2025 11:05,Sports Meet,Academic,Computer Science,5,Speakers were very knowledgeable.
14-12-2024 11:05,Hackathon,Technical,Mechanical,1,Could be better organized.
