Time Stamp,Event Name,Event Type,Conducted By,Rating,Feedback Comment
15-01-2025 11:05,Workshop,Technical,Computer Science,5,Would love to attend again.
19-10-2024 11:05,Tech Talk,Sports,Civil,4,Great networking opportunity.
06-09-2025 11:05,Guest Lecture,Sports,Management,5,Loved the hands-on activities!
02-01-2025 11:05,Cultural Fest,Technical,Computer Science,3,It was an average experience.
23-08-2025 11:05,Workshop,Academic,Humanities,5,Loved the hands-on activities!
31-01-2025 11:05,Cultural Fest,Sports,Mechanical,5,Loved the hands-on activities!
21-11-2024 11:05,Guest Lecture,Technical,Civil,3,Could have been a little better.
19-10-2024 11:05,Cultural Fest,Sports,Mechanical,5,"Great event, learned a lot!"
20-03-2025 11:05,Seminar,Technical,Electronics,1,The event was too long.
04-06-2025 11:05,Tech Talk,Workshop,Mechanical,3,"Nothing special, but okay."
25-01-2025 11:05,Hackathon,Academic,Civil,2,Could be better organized.
29-10-2024 11:05,Workshop,Workshop,Management,1,Poorly managed event.
21-01-2025 11:05,Sports Meet,Academic,Humanities,2,The event was too long.
14-12-2024 11:05,Workshop,Technical,Management,5,Great networking opportunity.
12-03-2025 11:05,Sports Meet,Workshop,Civil,5,"Great event, learned a lot!"
12-07-2025 11:05,Hackathon,Sports,Mechanical,4,Would love to attend again.
16-05-2025 11:05,Hackathon,Technical,Humanities,2,I did not enjoy the event.
22-01-2025 11:05,Sports Meet,Academic,Computer Science,4,Great networking opportunity.
19-06-2025 11:05,Tech Talk,Cultural,Electronics,5,Great networking opportunity.
27-08-2025 11:05,Seminar,Cultural,Computer Science,2,Could be better organized.
09-10-2024 11:05,Cultural Fest,Sports,Humanities,3,It was an average experience.
09-02-2025 11:05,Workshop,Workshop,Humanities,1,Could be better organized.
27-03-2025 11:05,Sports Meet,Academic,Humanities,4,Loved the hands-on activities!
01-10-2024 11:05,Seminar,Sports,Humanities,3,Overall it was decent.
06-12-2024 11:05,Hackathon,Workshop,Humanities,3,"Nothing special, but okay."
12-09-2024 11:05,Workshop,Sports,Humanities,3,"Content was fine, not too great."
24-11-2024 11:05,Seminar,Academic,Management,2,I did not enjoy the event.
11-01-2025 11:05,Cultural Fest,Academic,Management,2,Could be better organized.
07-09-2025 11:05,Guest Lecture,Academic,Humanities,5,"Great event, learned a lot!"
11-03-2025 11:05,Hackathon,Sports,Humanities,4,"Great event, learned a lot!"
18-04-2025 11:05,Cultural Fest,Sports,Management,2,Speakers were boring.
14-03-2025 11:05,Workshop,Technical,Management,2,I did not enjoy the event.
21-02-2025 11:05,Seminar,Workshop,Management,2,Poorly managed event.
07-09-2025 11:05,Guest Lecture,Academic,Mechanical,5,Loved the hands-on activities!
06-08-2025 11:05,Hackathon,Technical,Civil,1,I did not enjoy the event.
21-01-2025 11:05,Cultural Fest,Academic,Management,5,Loved the hands-on activities!
08-01-2025 11:05,Hackathon,Cultural,Mechanical,5,Would love to attend again.
14-08-2025 11:05,Seminar,Technical,Humanities,3,It was an average experience.
31-10-2024 11:05,Hackathon,Sports,Management,4,Speakers were very knowledgeable.
06-12-2024 11:05,Tech Talk,Sports,Mechanical,4,Speakers were very knowledgeable.
01-01-2025 11:05,Guest Lecture,Workshop,Management,5,Loved the hands-on activities!
11-08-2025 11:05,Workshop,Workshop,Civil,2,I did not enjoy the event.
13-08-2025 11:05,Seminar,Academic,Computer Science,5,Speakers were very knowledgeable.
16-01-2025 11:05,Cultural Fest,Academic,Humanities,2,Could be better organized.
10-05-2025 11:05,Workshop,Sports,Management,5,Speakers were very knowledgeable.
10-08-2025 11:05,Sports Meet,Cultural,Civil,3,"Nothing special, but okay."
30-01-2025 11:05,Hackathon,Academic,Civil,3,"Content was fine, not too great."
30-06-2025 11:05,Cultural Fest,Cultural,Computer Science,1,Content was not very relevant.
19-06-2025 11:05,Tech Talk,Workshop,Computer Science,2,Could be better organized.
28-12-2024 11:05,Workshop,Technical,Management,3,Could have been a little better.
25-03-2025 11:05,Guest Lecture,Technical,Civil,3,"Content was fine, not too great."
01-10-2024 11:05,Cultural Fest,Academic,Electronics,1,Speakers were boring.
04-03-2025 11:05,Guest Lecture,Academic,Computer Science,4,"Great event, learned a lot!"
01-07-2025 11:05,Workshop,Cultural,Mechanical,2,Could be better organized.
01-05-2025 11:05,Guest Lecture,Workshop,Humanities,4,Speakers were very knowledgeable.
02-09-2025 11:05,Cultural Fest,Academic,Management,1,Could be better organized.
06-09-2025 11:05,Workshop,Sports,Computer Science,3,It was an average experience.
06-06-2025 11:05,Cultural Fest,Workshop,Mechanical,4,"Great event, learned a lot!"
22-10-2024 11:05,Tech Talk,Sports,Management,1,Could be better organized.
20-08-2025 11:05,Guest Lecture,Workshop,Electronics,1,I did not enjoy the event.
06-06-2025 11:05,Hackathon,Workshop,Electronics,5,Speakers were very knowledgeable.
10-01-2025 11:05,Hackathon,Academic,Humanities,2,Could be better organized.
19-01-2025 11:05,Guest Lecture,Sports,Computer Science,5,Loved the hands-on activities!
04-05-2025 11:05,Guest Lecture,Technical,Humanities,4,Loved the hands-on activities!
17-01-2025 11:05,Cultural Fest,Cultural,Electronics,3,Could have been a little better.
23-10-2024 11:05,Seminar,Sports,Humanities,5,Great networking opportunity.
24-11-2024 11:05,Cultural Fest,Cultural,Electronics,5,"Great event, learned a lot!"
29-10-2024 11:05,Hackathon,Technical,Mechanical,5,Very informative and engaging.
23-06-2025 11:05,Tech Talk,Workshop,Humanities,4,Very informative and engaging.
01-07-2025 11:05,Sports Meet,Cultural,Civil,3,Overall it was decent.
15-10-2024 11:05,Seminar,Cultural,Mechanical,1,Could be better organized.
05-03-2025 11:05,Sports Meet,Cultural,Computer Science,1,The event was too long.
11-08-2025 11:05,Tech Talk,Technical,Humanities,3,It was an average experience.
27-05-2025 11:05,Guest Lecture,Technical,Electronics,1,Could be better organized.
21-02-2025 11:05,Seminar,Cultural,Management,5,Great networking opportunity.
16-07-2025 11:05,Sports Meet,Technical,Computer Science,2,The event was too long.
12-07-2025 11:05,Tech Talk,Sports,Humanities,2,Poorly managed event.
12-10-2024 11:05,Guest Lecture,Technical,Humanities,5,"Great event, learned a lot!"
01-05-2025 11:05,Guest Lecture,Cultural,Civil,4,Loved the hands-on activities!
11-03-2025 11:05,Workshop,Technical,Civil,2,The event was too long.
17-07-2025 11:05,Guest Lecture,Technical,Humanities,1,Speakers were boring.
17-02-2025 11:05,Cultural Fest,Academic,Computer Science,1,Could be better organized.
24-04-2025 11:05,Guest Lecture,Academic,Humanities,3,Overall it was decent.
28-01-2025 11:05,Sports Meet,Technical,Electronics,1,Poorly managed event.
25-06-2025 11:05,Sports Meet,Academic,Electronics,1,Poorly managed event.
09-04-2025 11:05,Guest Lecture,Cultural,Computer Science,2,Speakers were boring.
28-02-2025 11:05,Hackathon,Workshop,Mechanical,2,I did not enjoy the event.
05-04-2025 11:05,Tech Talk,Academic,Electronics,4,Would love to attend again.
24-03-2025 11:05,Seminar,Technical,Civil,2,Speakers were boring.
21-01-2025 11:05,Cultural Fest,Sports,Management,4,Speakers were very knowledgeable.
10-02-2025 11:05,Guest Lecture,Technical,Computer Science,3,Could have been a little better.
30-04-2025 11:05,Hackathon,Technical,Civil,5,Great networking opportunity.
13-09-2024 11:05,Sports Meet,Academic,Computer Science,2,Poorly managed event.
13-07-2025 11:05,Tech Talk,Technical,Management,4,Very informative and engaging.
06-10-2024 11:05,Cultural Fest,Cultural,Civil,5,Would love to attend again.
16-06-2025 11:05,Workshop,Cultural,Management,5,Loved the hands-on activities!
18-11-2024 11:05,Cultural Fest,Academic,Civil,3,"Content was fine, not too great."
07-07-2025 11:05,Hackathon,Technical,Mechanical,4,"Great event, learned a lot!"
24-09-2024 11:05,Seminar,Technical,Computer Science,2,Speakers were boring.
25-03-2025 11:05,Sports Meet,Sports,Electronics,4,Would love to attend again.
07-12-2024 11:05,Workshop,Workshop,Computer Science,3,Could have been a little better.
30-10-2024 11:05,Hackathon,Workshop,Humanities,4,Speakers were very knowledgeable.
29-03-2025 11:05,Seminar,Sports,Humanities,4,Loved the hands-on activities!
22-09-2024 11:05,Tech Talk,Technical,Electronics,4,Would love to attend again.
13-05-2025 11:05,Sports Meet,Workshop,Civil,1,Speakers were boring.
06-11-2024 11:05,Tech Talk,Sports,Mechanical,5,"Great event, learned a lot!"
07-05-2025 11:05,Hackathon,Cultural,Management,4,Loved the hands-on activities!
21-06-2025 11:05,Workshop,Cultural,Computer Science,4,Would love to attend again.
11-04-2025 11:05,Tech Talk,Sports,Computer Science,5,"Great event, learned a lot!"
29-04-2025 11:05,Seminar,Workshop,Management,3,"Nothing special, but okay."
24-01-2025 11:05,Hackathon,Workshop,Humanities,3,Overall it was decent.
06-03-2025 11:05,Hackathon,Sports,Management,4,Loved the hands-on activities!
27-01-2025 11:05,Workshop,Workshop,Humanities,5,"Great event, learned a lot!"
05-05-2025 11:05,Tech Talk,Academic,Management,3,Overall it was decent.
25-10-2024 11:05,Cultural Fest,Technical,Electronics,2,Poorly managed event.
20-05-2025 11:05,Seminar,Cultural,Civil,5,Would love to attend again.
15-08-2025 11:05,Hackathon,Sports,Civil,2,I did not enjoy the event.
03-03-2025 11:05,Seminar,Technical,Management,3,It was an average experience.
09-05-2025 11:05,Tech Talk,Workshop,Civil,3,"Nothing special, but okay."
20-11-2024 11:05,Hackathon,Workshop,Mechanical,1,The event was too long.
19-04-2025 11:05,Workshop,Academic,Management,1,Could be better organized.
30-10-2024 11:05,Seminar,Technical,Management,3,"Content was fine, not too great."
02-04-2025 11:05,Seminar,Workshop,Management,3,Overall it was decent.
16-06-2025 11:05,Tech Talk,Technical,Electronics,3,"Nothing special, but okay."
17-06-2025 11:05,Tech Talk,Academic,Civil,3,Overall it was decent.
18-02-2025 11:05,Seminar,Workshop,Civil,1,Speakers were boring.
12-11-2024 11:05,Cultural Fest,Technical,Electronics,1,Could be better organized.
08-10-2024 11:05,Cultural Fest,Cultural,Mechanical,1,Poorly managed event.
30-09-2024 11:05,Cultural Fest,Cultural,Management,4,Would love to attend again.
23-07-2025 11:05,Hackathon,Cultural,Civil,3,Could have been a little better.
30-01-2025 11:05,Tech Talk,Cultural,Mechanical,5,"Great event, learned a lot!"
09-05-2025 11:05,Cultural Fest,Cultural,Humanities,2,Could be better organized.
23-01-2025 11:05,Cultural Fest,Workshop,Mechanical,1,I did not enjoy the event.
06-02-2025 11:05,Guest Lecture,Technical,Computer Science,1,Could be better organized.
14-02-2025 11:05,Cultural Fest,Academic,Electronics,1,Speakers were boring.
11-06-2025 11:05,Seminar,Cultural,Civil,4,Very informative and engaging.
25-08-2025 11:05,Workshop,Technical,Management,1,Could be better organized.
17-12-2024 11:05,Guest Lecture,Academic,Electronics,3,"Content was fine, not too great."
13-11-2024 11:05,Seminar,Workshop,Electronics,2,Content was not very relevant.
28-03-2025 11:05,Sports Meet,Technical,Management,5,Very informative and engaging.
07-03-2025 11:05,Seminar,Cultural,Mechanical,4,"Great event, learned a lot!"
04-12-2024 11:05,Tech Talk,Workshop,Electronics,4,Great networking opportunity.
20-04-2025 11:05,Seminar,Cultural,Electronics,5,Would love to attend again.
03-05-2025 11:05,Guest Lecture,Sports,Mechanical,4,Very informative and engaging.
16-09-2024 11:05,Guest Lecture,Cultural,Civil,4,Would love to attend again.
12-05-2025 11:05,Cultural Fest,Cultural,Mechanical,1,Speakers were boring.
18-05-2025 11:05,Hackathon,Cultural,Computer Science,3,"Content was fine, not too great."
27-06-2025 11:05,Workshop,Technical,Electronics,4,Great networking opportunity.
24-12-2024 11:05,Cultural Fest,Technical,Management,3,"Nothing special, but okay."
28-06-2025 11:05,Workshop,Academic,Electronics,5,Speakers were very knowledgeable.
12-08-2025 11:05,Hackathon,Workshop,Humanities,1,Speakers were boring.
21-06-2025 11:05,Seminar,Sports,Mechanical,2,Poorly managed event.
11-07-2025 11:05,Sports Meet,Workshop,Computer Science,5,Would love to attend again.
10-08-2025 11:05,Tech Talk,Workshop,Computer Science,3,Overall it was decent.
02-12-2024 11:05,Cultural Fest,Sports,Management,4,Very informative and engaging.
13-07-2025 11:05,Tech Talk,Cultural,Management,2,I did not enjoy the event.
07-11-2024 11:05,Cultural Fest,Academic,Computer Science,2,Could be better organized.
16-09-2024 11:05,Workshop,Cultural,Humanities,4,Very informative and engaging.
07-04-2025 11:05,Hackathon,Academic,Electronics,5,Speakers were very knowledgeable.
17-07-2025 11:05,Workshop,Sports,Humanities,1,The event was too long.
29-08-2025 11:05,Tech Talk,Cultural,Humanities,3,"Nothing special, but okay."
10-05-2025 11:05,Tech Talk,Workshop,Electronics,2,Content was not very relevant.
18-03-2025 11:05,Guest Lecture,Cultural,Mechanical,5,Very informative and engaging.
17-07-2025 11:05,Seminar,Cultural,Humanities,5,Speakers were very knowledgeable.
14-03-2025 11:05,Hackathon,Sports,Computer Science,3,"Content was fine, not too great."
02-02-2025 11:05,Sports Meet,Technical,Computer Science,5,Loved the hands-on activities!
15-10-2024 11:05,Seminar,Workshop,Electronics,2,I did not enjoy the event.
31-01-2025 11:05,Sports Meet,Technical,Management,5,Would love to attend again.
25-01-2025 11:05,Seminar,Workshop,Humanities,3,Could have been a little better.
06-05-2025 11:05,Tech Talk,Sports,Mechanical,2,Could be better organized.
06-09-2025 11:05,Cultural Fest,Technical,Humanities,3,It was an average experience.
25-07-2025 11:05,Hackathon,Sports,Civil,5,Great networking opportunity.
23-02-2025 11:05,Seminar,Academic,Humanities,2,Poorly managed event.
18-10-2024 11:05,Cultural Fest,Workshop,Humanities,3,It was an average experience.
09-06-2025 11:05,Tech Talk,Technical,Mechanical,1,Could be better organized.
31-07-2025 11:05,Seminar,Academic,Humanities,1,Content was not very relevant.
06-02-2025 11:05,Sports Meet,Workshop,Management,5,Loved the hands-on activities!
21-08-2025 11:05,Sports Meet,Technical,Computer Science,1,I did not enjoy the event.
26-07-2025 11:05,Sports Meet,Technical,Electronics,4,Loved the hands-on activities!
20-10-2024 11:05,Workshop,Cultural,Mechanical,5,Loved the hands-on activities!
02-04-2025 11:05,Hackathon,Sports,Management,5,Would love to attend again.
29-01-2025 11:05,Seminar,Sports,Mechanical,5,Speakers were very knowledgeable.
22-01-2025 11:05,Workshop,Cultural,Mechanical,5,"Great event, learned a lot!"
27-10-2024 11:05,Cultural Fest,Sports,Management,2,The event was too long.
16-09-2024 11:05,Guest Lecture,Cultural,Humanities,1,Content was not very relevant.
11-02-2025 11:05,Sports Meet,Sports,Electronics,5,Would love to attend again.
30-06-2025 11:05,Workshop,Academic,Computer Science,3,Could have been a little better.
07-04-2025 11:05,Hackathon,Workshop,Electronics,1,Poorly managed event.
10-09-2024 11:05,Seminar,Academic,Electronics,5,Would love to attend again.
27-04-2025 11:05,Seminar,Workshop,Mechanical,5,"Great event, learned a lot!"
29-08-2025 11:05,Tech Talk,Sports,Humanities,1,Poorly managed event.
12-09-2024 11:05,Sports Meet,Technical,Management,5,Speakers were very knowledgeable.
24-10-2024 11:05,Tech Talk,Academic,Mechanical,2,Could be better organized.
07-11-2024 11:05,Sports Meet,Academic,Mechanical,1,Content was not very relevant.
12-05-2025 11:05,Guest Lecture,Technical,Management,4,Loved the hands-on activities!
25-06-2025 11:05,Workshop,Academic,Management,4,Great networking opportunity.
19-09-2024 11:05,Hackathon,Sports,Computer Science,2,Speakers were boring.
28-03-2025 11:05,Tech Talk,Academic,Computer Science,1,The event was too long.
05-06-2025 11:05,Workshop,Academic,Computer Science,1,Could be better organized.
14-01-2025 11:05,Guest Lecture,Cultural,Management,4,Would love to attend again.
09-07-2025 11:05,Hackathon,Workshop,Computer Science,5,Would love to attend again.
01-08-2025 11:05,Workshop,Workshop,Management,2,I did not enjoy the event.
23-02-2025 11:05,Seminar,Workshop,Mechanical,5,Would love to attend again.
19-10-2024 11:05,Workshop,Workshop,Humanities,3,It was an average experience.
20-12-2024 11:05,Sports Meet,Technical,Computer Science,1,Speakers were boring.
25-03-2025 11:05,Tech Talk,Workshop,Humanities,2,The event was too long.
05-03-2025 11:05,Workshop,Cultural,Computer Science,4,Loved the hands-on activities!
04-08-2025 11:05,Workshop,Workshop,Computer Science,4,Would love to attend again.
22-09-2024 11:05,Guest Lecture,Cultural,Humanities,2,Could be better organized.
04-03-2025 11:05,Cultural Fest,Technical,Management,2,Poorly managed event.
16-10-2024 11:05,Tech Talk,Academic,Electronics,4,Loved the hands-on activities!
14-01-2025 11:05,Cultural Fest,Technical,Computer Science,1,Content was not very relevant.
03-10-2024 11:05,Sports Meet,Sports,Mechanical,2,Content was not very relevant.
08-04-2025 11:05,Workshop,Workshop,Civil,2,Could be better organized.
31-10-2024 11:05,Tech Talk,Academic,Humanities,3,"Content was fine, not too great."
05-10-2024 11:05,Hackathon,Cultural,Electronics,2,Could be better organized.
15-06-2025 11:05,Workshop,Cultural,Electronics,3,Overall it was decent.
28-02-2025 11:05,Tech Talk,Workshop,Computer Science,1,Speakers were boring.
07-10-2024 11:05,Guest Lecture,Sports,Civil,2,The event was too long.
03-05-2025 11:05,Workshop,Workshop,Computer Science,4,Great networking opportunity.
09-09-2025 11:05,Seminar,Academic,Civil,5,"Great event, learned a lot!"
24-02-2025 11:05,Hackathon,Sports,Management,3,"Nothing special, but okay."
22-11-2024 11:05,Workshop,Academic,Computer Science,4,Great networking opportunity.
15-05-2025 11:05,Sports Meet,Sports,Management,4,"Great event, learned a lot!"
11-09-2024 11:05,Sports Meet,Workshop,Mechanical,5,Loved the hands-on activities!
03-05-2025 11:05,Seminar,Sports,Management,4,Great networking opportunity.
07-11-2024 11:05,Hackathon,Technical,Management,1,Speakers were boring.
11-03-2025 11:05,Guest Lecture,Workshop,Management,1,Could be better organized.
03-05-2025 11:05,Guest Lecture,Academic,Mechanical,4,Loved the hands-on activities!
07-01-2025 11:05,Cultural Fest,Technical,Civil,2,Poorly managed event.
27-10-2024 11:05,Cultural Fest,Sports,Mechanical,4,"Great event, learned a lot!"
08-06-2025 11:05,Workshop,Workshop,Computer Science,2,Poorly managed event.
02-03-2025 11:05,Hackathon,Cultural,Management,3,Overall it was decent.
25-03-2025 11:05,Hackathon,Cultural,Civil,1,Speakers were boring.
06-05-2025 11:05,Hackathon,Workshop,Electronics,3,"Content was fine, not too great."
19-06-2025 11:05,Tech Talk,Workshop,Computer Science,5,Loved the hands-on activities!
07-05-2025 11:05,Tech Talk,Sports,Management,2,I did not enjoy the event.
13-11-2024 11:05,Cultural Fest,Technical,Electronics,5,"Great event, learned a lot!"
10-03-2025 11:05,Workshop,Sports,Computer Science,1,Could be better organized.
23-07-2025 11:05,Sports Meet,Workshop,Mechanical,1,Could be better organized.
31-07-2025 11:05,Hackathon,Cultural,Electronics,1,Speakers were boring.
03-12-2024 11:05,Guest Lecture,Workshop,Civil,5,Would love to attend again.
20-04-2025 11:05,Sports Meet,Workshop,Mechanical,5,Loved the hands-on activities!
26-05-2025 11:05,Tech Talk,Technical,Mechanical,4,"Great event, learned a lot!"
18-07-2025 11:05,Sports Meet,Academic,Civil,5,Great networking opportunity.
18-02-2025 11:05,Seminar,Technical,Computer Science,4,"Great event, learned a lot!"
05-04-2025 11:05,Sports Meet,Cultural,Mechanical,2,Content was not very relevant.
27-09-2024 11:05,Sports Meet,Technical,Mechanical,4,Very informative and engaging.
04-01-2025 11:05,Guest Lecture,Cultural,Computer Science,1,Could be better organized.
02-07-2025 11:05,Tech Talk,Technical,Humanities,3,Overall it was decent.
25-07-2025 11:05,Tech Talk,Cultural,Management,4,Would love to attend again.
